"","pValue","qValue","EffectSize","X.SB01.SA01.","significant","GeneName"
"A0A2H0ZBV2","0.27645651553296","0.651799637482846","0.270636462866449","SB01-SA01","Non significant","A0A2H0ZBV2"
"A0A2H0ZC49","0.525755044301947","0.868236323160609","0.116265822914784","SB01-SA01","Non significant","A0A2H0ZC49"
"A0A2H0ZC50","0.0456813284287413","0.270142566400374","-0.910936716186853","SB01-SA01","Non significant","A0A2H0ZC50"
"A0A2H0ZC68","0.954893592858141","0.988881208343222","-0.0134465637967711","SB01-SA01","Non significant","A0A2H0ZC68"
"A0A2H0ZC91","0.0405730699156429","0.265710893579338","0.765589803848382","SB01-SA01","Non significant","A0A2H0ZC91"
"A0A2H0ZC96","0.156695525364997","0.51034862080683","-0.560027384324542","SB01-SA01","Non significant","A0A2H0ZC96"
"A0A2H0ZCA6","0.163406039915384","0.521445960336257","0.491307833832806","SB01-SA01","Non significant","A0A2H0ZCA6"
"A0A2H0ZCB4","0.367020606005872","0.750732499366686","0.496908040549094","SB01-SA01","Non significant","A0A2H0ZCB4"
"A0A2H0ZCD6","0.00149711793101363","0.0665838398190724","-1.27880223156719","SB01-SA01","Non significant","A0A2H0ZCD6"
"A0A2H0ZCD7","0.724009423216563","0.959571238196903","-0.077794375361794","SB01-SA01","Non significant","A0A2H0ZCD7"
"A0A2H0ZCD8","0.944985516922185","0.988881208343222","-0.02026645397682","SB01-SA01","Non significant","A0A2H0ZCD8"
"A0A2H0ZCE2","0.522519466123462","0.868236323160609","-0.270393331753706","SB01-SA01","Non significant","A0A2H0ZCE2"
"A0A2H0ZCK9","0.724846629872132","0.959571238196903","0.132188683555924","SB01-SA01","Non significant","A0A2H0ZCK9"
"A0A2H0ZCL6","0.259002897058137","0.641970652411801","0.298418229525971","SB01-SA01","Non significant","A0A2H0ZCL6"
"A0A2H0ZCM9","0.4176429851434","0.792929785812356","-0.192220123936512","SB01-SA01","Non significant","A0A2H0ZCM9"
"A0A2H0ZCP9","0.00812680603047146","0.119108500884097","-0.689026547330009","SB01-SA01","Non significant","A0A2H0ZCP9"
"A0A2H0ZCS4","0.359624251202465","0.750732499366686","-0.224225666816036","SB01-SA01","Non significant","A0A2H0ZCS4"
"A0A2H0ZCU5","0.0557803184998117","0.30070079743002","-1.16425390508538","SB01-SA01","Non significant","A0A2H0ZCU5"
"A0A2H0ZCU8","0.0179209185420362","0.178689977923021","-1.02265587835827","SB01-SA01","Non significant","A0A2H0ZCU8"
"A0A2H0ZK83","0.247288454348609","0.640764006019325","-0.724495840938847","SB01-SA01","Non significant","A0A2H0ZK83"
"A0A2H0ZCW1","0.0186691021710619","0.178689977923021","-0.983621419238217","SB01-SA01","Non significant","A0A2H0ZCW1"
"A0A2H0ZCW6","0.771851516975277","0.964303913771699","0.176058766977341","SB01-SA01","Non significant","A0A2H0ZCW6"
"A0A2H0ZCY7","0.719394928702996","0.958511993073025","0.0843572724427624","SB01-SA01","Non significant","A0A2H0ZCY7"
"A0A2H0ZCZ3","0.765832145400674","0.964050009540299","-0.0909837564436025","SB01-SA01","Non significant","A0A2H0ZCZ3"
"A0A2H0ZD01","0.785355757403465","0.964303913771699","0.0952611845385469","SB01-SA01","Non significant","A0A2H0ZD01"
"A0A2H0ZD43","0.968554481504482","0.988881208343222","-0.00609073434472052","SB01-SA01","Non significant","A0A2H0ZD43"
"A0A2H0ZD48","0.705536134816454","0.950851859853209","0.0984898776137584","SB01-SA01","Non significant","A0A2H0ZD48"
"A0A2H0ZD52","0.0498010261301374","0.277662719358274","-0.90572371196151","SB01-SA01","Non significant","A0A2H0ZD52"
"A0A2H0ZD64","0.121605585822646","0.463683087405048","-0.89362252145547","SB01-SA01","Non significant","A0A2H0ZD64"
"A0A2H0ZD81","0.00466505555074795","0.0906624466036642","-1.11381631967987","SB01-SA01","Non significant","A0A2H0ZD81"
