Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
2	a	sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	74.60	Homo sapiens OX=9606	Protein MMP24	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	6	6	0	3359044	3359044	     0			
3	a	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	23.10	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	0	12	12	0	11368354	11368354	     0			
4	a	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	14.50	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 8 	1:Experimental evidence at protein level	1.0000	0.9990	21	24	24	0	28	28	0	240122771	240122771	     0			
5	a	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	3.40	Homo sapiens OX=9606	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	0	0	0	     0	     0	     0			tr|J3KTL8|J3KTL8_HUMAN
6	a	sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	4.20	Homo sapiens OX=9606	Homeobox protein HMX3 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	3	3	0	34180264	34180264	     0			
7	a	sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	30.40	Homo sapiens OX=9606	Nucleoside diphosphate-linked moiety X motif 19 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	0	4	4	0	11874282	11874282	     0			
8	a	sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	66.00	Homo sapiens OX=9606	SLC35A4 upstream open reading frame protein 	3:Protein inferred from homology	1.0000	0.9990	7	7	7	0	21	21	0	20811854	20811854	     0	N-term(42.0106)		
9	a	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	60.20	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	23	23	0	55	55	0	68477250	68477250	     0	3M(15.9949), N-term(42.0106)		
10	a	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	24.70	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	7	7	0	22543030	22543030	     0			tr|K7EKP8|K7EKP8_HUMAN
11	a	sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	7.30	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	12	12	0	7544283	7544283	     0			
12	a	sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	25.60	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	6	6	0	6197676	6197676	     0			tr|E9PM92|E9PM92_HUMAN, tr|E9PRZ9|E9PRZ9_HUMAN
