Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
2	a	sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	74.60	Homo sapiens OX=9606	Protein MMP24	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	5	5	0	2849318	2849318	     0			
3	a	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	23.10	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	0	14	14	0	6493616	6493616	     0			
4	a	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	14.50	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 8 	1:Experimental evidence at protein level	1.0000	0.9990	21	24	24	0	25	25	0	16467806	16467806	     0			
5	a	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	3.40	Homo sapiens OX=9606	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	1	1	0	525336	525336	     0			tr|J3KTL8|J3KTL8_HUMAN
6	a	sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	4.20	Homo sapiens OX=9606	Homeobox protein HMX3 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	1	1	0	1179829	1179829	     0			
7	a	sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	30.40	Homo sapiens OX=9606	Nucleoside diphosphate-linked moiety X motif 19 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	0	4	4	0	8498265	8498265	     0			
8	a	sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	66.00	Homo sapiens OX=9606	SLC35A4 upstream open reading frame protein 	3:Protein inferred from homology	1.0000	0.9990	7	7	7	0	16	16	0	18945855	18945855	     0	N-term(42.0106)		
9	a	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	60.20	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	23	23	0	51	51	0	57117478	57117478	     0	3M(15.9949), N-term(42.0106)		
10	a	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	24.70	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	5	5	0	17881277	17881277	     0			tr|K7EKP8|K7EKP8_HUMAN
11	a	sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	7.30	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	7	7	0	3875236	3875236	     0			
12	a	sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	25.60	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	8	8	0	5492011	5492011	     0			tr|E9PM92|E9PM92_HUMAN, tr|E9PRZ9|E9PRZ9_HUMAN
13	a	sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	31.30	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	0	7	7	0	14655123	14655123	     0			
14	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	10.10	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	4	4	0	4661788	4661788	     0			
15	a	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	41.10	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	0	21	21	0	121335333	121335333	     0			
16	a	sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	7.30	Homo sapiens OX=9606	Neural Wiskott-Aldrich syndrome protein 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	0	1	1	0	3396087	3396087	     0			
17	a	sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	2.60	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	3	3	0	1775939	1775939	     0			tr|A0A087X208|A0A087X208_HUMAN, tr|A0A494C0G5|A0A494C0G5_HUMAN, tr|A0A494C1I6|A0A494C1I6_HUMAN
18	a	sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	3.30	Homo sapiens OX=9606	Exocyst complex component 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	1362013	1362013	     0			tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN, tr|F8W9B8|F8W9B8_HUMAN
19	a	sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	32.10	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	10	10	0	127840378	127840378	     0			
20	a	sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	16.10	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	15	15	0	22735662	22735662	     0			
21	a	sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	12.70	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	3	0	6	6	0	8308472	8308472	     0	N-term(42.0106)		
22	a	sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	27.60	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	0	5	5	0	9988426	9988426	     0			
23	a	sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	2.50	Homo sapiens OX=9606	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	1624587	1624587	     0			tr|A0A087WUV6|A0A087WUV6_HUMAN, tr|A0A1B0GTU5|A0A1B0GTU5_HUMAN, tr|H0Y488|H0Y488_HUMAN
24	a	sp|O14531|DPYL4_HUMAN	O14531	DPYL4_HUMAN	DPYSL4	572	5.80	Homo sapiens OX=9606	Dihydropyrimidinase-related protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|Q5T0Q6|Q5T0Q6_HUMAN
25	a	sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	37.00	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	11	11	0	22801674	22801674	     0			tr|M0QXB4|M0QXB4_HUMAN, tr|M0R061|M0R061_HUMAN
26	a	sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	212	7.20	Homo sapiens OX=9606	Golgi SNAP receptor complex member 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	1	1	0	787810	787810	     0			tr|A0A1W2PNV3|A0A1W2PNV3_HUMAN, tr|A0A1W2PPG1|A0A1W2PPG1_HUMAN, tr|A0A1W2PPG5|A0A1W2PPG5_HUMAN, tr|A0A1W2PPJ0|A0A1W2PPJ0_HUMAN, tr|A0A1W2PPP5|A0A1W2PPP5_HUMAN, tr|A0A1W2PPW8|A0A1W2PPW8_HUMAN, tr|A0A1W2PQ06|A0A1W2PQ06_HUMAN, tr|A0A1W2PQ38|A0A1W2PQ38_HUMAN, tr|A0A1W2PQ77|A0A1W2PQ77_HUMAN, tr|A0A1W2PQE0|A0A1W2PQE0_HUMAN, tr|A0A1W2PQM3|A0A1W2PQM3_HUMAN, tr|A0A1W2PQP2|A0A1W2PQP2_HUMAN, tr|A0A1W2PR02|A0A1W2PR02_HUMAN, tr|A0A1W2PR23|A0A1W2PR23_HUMAN, tr|A0A1W2PRC2|A0A1W2PRC2_HUMAN, tr|A0A1W2PRD0|A0A1W2PRD0_HUMAN, tr|A0A1W2PRE6|A0A1W2PRE6_HUMAN, tr|A0A1W2PRL0|A0A1W2PRL0_HUMAN, tr|A0A1W2PRP7|A0A1W2PRP7_HUMAN, tr|A0A1W2PRV0|A0A1W2PRV0_HUMAN, tr|A0A1W2PS12|A0A1W2PS12_HUMAN, tr|A0A1W2PS81|A0A1W2PS81_HUMAN, tr|A0A1X7SBU8|A0A1X7SBU8_HUMAN, tr|E7EQ34|E7EQ34_HUMAN, tr|I3L0K1|I3L0K1_HUMAN, tr|I3L1K7|I3L1K7_HUMAN, tr|I3L4Z6|I3L4Z6_HUMAN, tr|I3NI02|I3NI02_HUMAN
27	a	sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	17.00	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	9	9	0	11401135	11401135	     0			
28	a	sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	6.90	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	1432435	1432435	     0			
29	a	sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	47.60	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	13	13	0	81893738	81893738	     0			
30	a	sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	3.10	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	3978112	3978112	     0			
31	a	sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	12.60	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	13	13	0	20023602	20023602	     0			
32	a	sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	2.10	Homo sapiens OX=9606	Laminin subunit alpha-5 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	0	0	0	     0	     0	     0			
33	a	sp|O15239|NDUA1_HUMAN	O15239	NDUA1_HUMAN	NDUFA1	70	18.60	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	3	3	0	4	4	0	5897607	5897607	     0			
34	a	sp|O15247|CLIC2_HUMAN	O15247	CLIC2_HUMAN	CLIC2	247	40.60	Homo sapiens OX=9606	Chloride intracellular channel protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	5	5	0	8433236	8433236	     0	N-term(42.0106)		tr|A6PVS0|A6PVS0_HUMAN
35	a	sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	473	4.90	Homo sapiens OX=9606	Serine palmitoyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	3181866	3181866	     0			
36	a	sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	2.80	Homo sapiens OX=9606	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			
37	a	sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	26.80	Homo sapiens OX=9606	High mobility group protein B3 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	8	8	0	8765292	8765292	     0			tr|E7EQU1|E7EQU1_HUMAN, tr|E7ES08|E7ES08_HUMAN, tr|E9PES6|E9PES6_HUMAN
38	a	sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	11.70	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	2	2	0	1413695	1413695	     0			
39	a	sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	29.90	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	15	15	0	15516145	15516145	     0			
